 sen rec ret cir top tok mess rush sil s_m s_n er
1 5741153.5 7667738.0 9975399.0 4287347.0 27.0 12.0 1000.0 False True 10.0 10.0 False
2 46556624.5 49976952.5 52055030.0 5321700.0 29.0 12.0 1000.0 False True 10.0 10.0 False
3 1752779.0 3700559.0 5555300.0 3802298.0 25.0 14.0 1000.0 False True 10.0 10.0 False
4 2908059.5 5430133.0 7418967.0 4389533.0 27.0 14.0 1000.0 False True 10.0 10.0 False
5 225344.5 977236.5 1721543.0 1421456.0 15.0 15.0 1000.0 False True 10.0 10.0 False
6 14978494.5 17677050.0 19803767.5 5064227.5 29.0 14.0 1000.0 False True 10.0 10.0 False
7 524986.0 1466524.5 2373034.0 1789369.0 17.0 15.0 1000.0 False True 10.0 10.0 False
8 502898.0 1751887.0 2778654.5 2161299.5 19.0 15.0 1000.0 False True 10.0 10.0 False
9 916550.0 2496416.0 3801629.0 2780885.0 21.0 15.0 1000.0 False True 10.0 10.0 False
10 1136093.0 2958037.0 4503989.5 3194091.5 23.0 15.0 1000.0 False True 10.0 10.0 False
11 2143450.0 4163519.0 5972745.0 3769278.0 25.0 15.0 1000.0 False True 10.0 10.0 False
12 2640770.0 5065120.0 7131150.0 4371684.0 27.0 15.0 1000.0 False True 10.0 10.0 False
13 4093684.0 6765244.0 9175761.0 4957134.0 29.0 15.0 1000.0 False True 10.0 10.0 False
14 295402.0 1278886.0 2126271.0 1756795.0 17.0 16.0 1000.0 False True 10.0 10.0 False
15 524763.0 1733591.0 2840010.0 2228902.5 19.0 16.0 1000.0 False True 10.0 10.0 False
16 669786.0 2248983.0 3478561.0 2710828.0 21.0 16.0 1000.0 False True 10.0 10.0 False
17 1167552.5 2928362.5 4490380.0 3247415.0 23.0 16.0 1000.0 False True 10.0 10.0 False
18 1681160.0 3723762.5 5649231.0 3896899.0 25.0 16.0 1000.0 False True 10.0 10.0 False
19 2452016.0 4655931.0 6753419.5 4407828.0 27.0 16.0 1000.0 False True 10.0 10.0 False
20 6170200.5 8709231.5 11241345.0 5224869.0 29.0 16.0 1000.0 False True 10.0 10.0 False
21 175367.0 705038.0 1179377.0 956264.0 13.0 13.0 1000.0 False True 10.0 10.0 False
22 300534.0 1319938.5 2136757.0 1752109.5 17.0 17.0 1000.0 False True 10.0 10.0 False
23 651045.0 1871698.0 3007568.0 2280665.5 19.0 17.0 1000.0 False True 10.0 10.0 False
24 950909.0 2484591.0 3757675.0 2799180.0 21.0 17.0 1000.0 False True 10.0 10.0 False
25 926143.5 2931933.0 4436833.0 3364104.0 23.0 17.0 1000.0 False True 10.0 10.0 False
26 2058667.5 4109302.5 5942402.0 3897791.0 25.0 17.0 1000.0 False True 10.0 10.0 False
27 3001097.5 5122906.5 7445071.0 4543704.0 27.0 17.0 1000.0 False True 10.0 10.0 False
28 522977.0 1799633.0 2920554.0 2305654.0 19.0 18.0 1000.0 False True 10.0 10.0 False
29 13442804.5 16378753.5 19039604.0 5415408.0 29.0 17.0 1000.0 False True 10.0 10.0 False
30 501782.0 2058220.5 3374813.0 2721984.0 21.0 18.0 1000.0 False True 10.0 10.0 False
31 794730.0 2601056.0 4234469.5 3312118.0 23.0 18.0 1000.0 False True 10.0 10.0 False
32 1382633.5 3501988.0 5349812.0 3862539.0 25.0 18.0 1000.0 False True 10.0 10.0 False
33 2037248.5 4490157.0 6613527.0 4522955.0 27.0 18.0 1000.0 False True 10.0 10.0 False
34 2137873.0 4844684.0 7333737.0 5256105.0 29.0 18.0 1000.0 False True 10.0 10.0 False
35 340471.0 1681382.0 2760359.0 2297621.0 19.0 19.0 1000.0 False True 10.0 10.0 False
36 758808.5 2214623.5 3622022.0 2737601.0 21.0 19.0 1000.0 False True 10.0 10.0 False
37 1028553.0 2940634.5 4536787.5 3478337.5 23.0 19.0 1000.0 False True 10.0 10.0 False
38 1529443.0 3540586.5 5452891.0 3892436.0 25.0 19.0 1000.0 False True 10.0 10.0 False
39 2174017.0 4821703.5 7229320.0 4872350.0 27.0 19.0 1000.0 False True 10.0 10.0 False
40 287816.0 1048633.0 1777767.0 1403829.0 15.0 13.0 1000.0 False True 10.0 10.0 False
41 387771.0 1331987.0 2191866.0 1718865.0 17.0 13.0 1000.0 False True 10.0 10.0 False
42 558898.5 2118907.5 3437954.5 2749203.5 21.0 20.0 1000.0 False True 10.0 10.0 False
43 3199892.0 5993272.0 8526278.0 5311214.5 29.0 19.0 1000.0 False True 10.0 10.0 False
44 1127615.0 2896681.0 4553745.0 3324836.0 23.0 20.0 1000.0 False True 10.0 10.0 False
45 1258136.5 3348039.5 5237810.0 3878380.0 25.0 20.0 1000.0 False True 10.0 10.0 False
46 2092135.0 4321260.5 6705896.0 4510906.0 27.0 20.0 1000.0 False True 10.0 10.0 False
47 2149920.5 4922550.5 7484115.5 5270161.0 29.0 20.0 1000.0 False True 10.0 10.0 False
48 736274.0 2329973.0 3697881.0 2874593.0 21.0 21.0 1000.0 False True 10.0 10.0 False
49 973220.5 2728230.5 4416307.0 3365889.0 23.0 21.0 1000.0 False True 10.0 10.0 False
50 1369024.0 3522960.0 5679128.0 4196762.0 25.0 21.0 1000.0 False True 10.0 10.0 False
51 1798294.0 4349818.5 6679569.0 4780873.0 27.0 21.0 1000.0 False True 10.0 10.0 False
52 2174909.0 5026521.5 7669299.5 5515140.0 29.0 21.0 1000.0 False True 10.0 10.0 False
53 603075.5 2564465.5 4213050.5 3442417.0 23.0 22.0 1000.0 False True 10.0 10.0 False
54 1215522.0 3088782.0 5220407.0 3892436.0 25.0 22.0 1000.0 False True 10.0 10.0 False
55 1396243.5 3866108.5 6095458.0 4592566.0 27.0 22.0 1000.0 False True 10.0 10.0 False
