 sen rec ret cir top tok mess rush sil s_m s_n er
1 124800927.0 125303824.0 125651212.0 763940.0 7.0 1.0 1000.0 True True 10.0 10.0 False
2 63349476.0 63723861.0 64104492.0 769295.0 7.0 2.0 1000.0 True True 10.0 10.0 False
3 43144774.5 43582300.0 44002422.0 778666.0 7.0 3.0 1000.0 True True 10.0 10.0 False
4 35802782.0 36256148.0 36769086.5 760370.5 7.0 4.0 1000.0 True True 10.0 10.0 False
5 24678125.5 25104049.0 25426671.0 692767.0 7.0 5.0 1000.0 True True 10.0 10.0 False
6 26851250.0 27238128.0 27840534.5 849838.5 7.0 6.0 1000.0 True True 10.0 10.0 False
7 17609001.0 17975576.5 18322964.0 704146.0 7.0 7.0 1000.0 True True 10.0 10.0 False
8 165679538.5 166090514.0 166602112.5 857871.0 8.0 1.0 1000.0 True True 10.0 10.0 False
9 85231990.5 85811863.0 86368085.0 835336.0 8.0 2.0 1000.0 True True 10.0 10.0 False
10 69381123.0 69886698.5 70493121.0 983037.0 8.0 3.0 1000.0 True True 10.0 10.0 False
11 44868995.0 45515577.0 45999733.0 862334.0 8.0 4.0 1000.0 True True 10.0 10.0 False
12 50849995.0 51463111.5 52163464.0 1381964.0 8.0 5.0 1000.0 True True 10.0 10.0 False
13 44196084.5 44962701.5 45563769.5 1449344.0 8.0 6.0 1000.0 True True 10.0 10.0 False
14 24444303.0 24876251.0 25331401.0 933952.0 8.0 7.0 1000.0 True True 10.0 10.0 False
15 20856639.0 21243964.0 21763372.0 929491.0 8.0 8.0 1000.0 True True 10.0 10.0 False
16 180284541.5 180763788.5 181189043.0 929490.0 9.0 1.0 1000.0 True True 10.0 10.0 False
17 97057893.0 97514383.5 98063242.0 966974.0 9.0 2.0 1000.0 True True 10.0 10.0 False
18 65816664.0 66271369.0 66826475.0 986161.0 9.0 3.0 1000.0 True True 10.0 10.0 False
19 48765446.5 49240008.5 49726619.5 959387.5 9.0 4.0 1000.0 True True 10.0 10.0 False
20 44138967.5 44713707.0 45244940.0 1084777.5 9.0 5.0 1000.0 True True 10.0 10.0 False
21 34604886.0 35189889.5 35739641.0 1099502.5 9.0 6.0 1000.0 True True 10.0 10.0 False
22 31671837.5 32227836.5 32788297.0 1077414.0 9.0 7.0 1000.0 True True 10.0 10.0 False
23 24030873.0 24597358.5 25023505.0 1053987.0 9.0 8.0 1000.0 True True 10.0 10.0 False
24 25943848.0 26505870.5 27144198.0 1167998.5 9.0 9.0 1000.0 True True 10.0 10.0 False
25 263494232.5 264036175.0 264616047.0 1181608.0 10.0 1.0 1000.0 True True 10.0 10.0 False
26 130193577.5 130804016.0 131339711.0 1177593.0 10.0 2.0 1000.0 True True 10.0 10.0 False
27 94640905.5 95160537.0 95863344.0 1237833.0 10.0 3.0 1000.0 True True 10.0 10.0 False
28 67415941.0 67981756.5 68565644.0 1209721.0 10.0 4.0 1000.0 True True 10.0 10.0 False
29 58879177.0 59409963.0 60126380.0 1315030.0 10.0 5.0 1000.0 True True 10.0 10.0 False
30 45891077.0 46434804.5 47134264.5 1251442.5 10.0 6.0 1000.0 True True 10.0 10.0 False
31 42534782.5 43110638.0 43853382.0 1291827.0 10.0 7.0 1000.0 True True 10.0 10.0 False
32 38274432.0 38884201.0 39608427.0 1353406.0 10.0 8.0 1000.0 True True 10.0 10.0 False
33 33288517.5 34035055.0 34774006.5 1476787.0 10.0 10.0 1000.0 True True 10.0 10.0 False
34 35040627.0 35833125.5 36536602.0 1435065.0 10.0 9.0 1000.0 True True 10.0 10.0 False
35 345892014.0 346610886.0 347303653.0 1389550.0 11.0 1.0 1000.0 True True 10.0 10.0 False
36 174754229.5 175406836.5 176097818.5 1428148.5 11.0 2.0 1000.0 True True 10.0 10.0 False
37 119925899.5 120628707.0 121314335.0 1498429.0 11.0 3.0 1000.0 True True 10.0 10.0 False
38 94494097.0 95226579.0 96071062.0 1582543.0 11.0 4.0 1000.0 True True 10.0 10.0 False
39 137118124.0 138547612.5 140046488.0 2749649.0 11.0 5.0 1000.0 True True 10.0 10.0 False
40 111795425.0 113103316.0 114603752.5 2756565.5 11.0 6.0 1000.0 True True 10.0 10.0 False
41 101617438.5 102961250.0 104506310.5 2834433.0 11.0 7.0 1000.0 True True 10.0 10.0 False
42 77213072.5 78269961.5 79753665.0 2586107.0 11.0 8.0 1000.0 True True 10.0 10.0 False
43 55052336.0 56226358.0 57344603.0 2109760.0 11.0 10.0 1000.0 True True 10.0 10.0 False
44 43152360.0 44163064.0 45084076.0 1961166.0 11.0 11.0 1000.0 True True 10.0 10.0 False
45 56019756.0 57084452.0 58035808.0 2025870.0 11.0 9.0 1000.0 True True 10.0 10.0 False
46 688068967.5 689414787.0 690802776.0 2472988.0 12.0 1.0 1000.0 True True 10.0 10.0 False
47 288054554.0 289311128.0 290435620.0 2199005.0 12.0 2.0 1000.0 True True 10.0 10.0 False
48 238392637.0 239283306.0 241045232.5 2558441.5 12.0 3.0 1000.0 True True 10.0 10.0 False
49 167734859.0 169171709.5 170519314.0 2461386.5 12.0 4.0 1000.0 True True 10.0 10.0 False
50 129818970.0 130980053.0 132285712.0 2435506.0 12.0 5.0 1000.0 True True 10.0 10.0 False
51 97938075.5 99137533.0 100365995.5 2291820.5 12.0 6.0 1000.0 True True 10.0 10.0 False
52 86612617.0 87768121.0 88900868.0 2267947.5 12.0 7.0 1000.0 True True 10.0 10.0 False
53 81535895.0 83175778.0 84078941.0 2744741.0 12.0 8.0 1000.0 True True 10.0 10.0 False
54 65405689.5 66673642.5 67839856.0 2318148.0 12.0 9.0 1000.0 True True 10.0 10.0 False
55 79498869.5 80863877.5 82453784.0 2734924.0 12.0 10.0 1000.0 True True 10.0 10.0 False
56 61739713.5 62948987.5 64258887.0 2441307.0 12.0 11.0 1000.0 True True 10.0 10.0 False
57 59889434.5 61431147.5 62484020.0 2739832.5 12.0 12.0 1000.0 True True 10.0 10.0 False
58 913891173.0 915553814.0 917172279.0 3070710.0 13.0 1.0 1000.0 True True 10.0 10.0 False
59 449020822.5 450752628.5 452256412.5 3115779.0 13.0 2.0 1000.0 True True 10.0 10.0 False
60 288698013.0 290781000.0 292566576.5 3012030.5 13.0 3.0 1000.0 True True 10.0 10.0 False
61 176667873.0 177871123.5 179339879.0 2401146.0 13.0 4.0 1000.0 True True 10.0 10.0 False
62 179814217.5 181521704.5 183134145.0 3068701.0 13.0 5.0 1000.0 True True 10.0 10.0 False
63 123950642.5 125367858.5 126539426.5 2659065.0 13.0 6.0 1000.0 True True 10.0 10.0 False
64 140391867.0 142208902.0 144090195.0 3269058.0 13.0 7.0 1000.0 True True 10.0 10.0 False
65 81287123.0 82713264.0 84131596.0 2796057.0 13.0 10.0 1000.0 True True 10.0 10.0 False
66 96724116.0 98303312.0 99611872.0 2769729.5 13.0 8.0 1000.0 True True 10.0 10.0 False
67 79238050.0 80602834.5 81888190.5 2624260.0 13.0 9.0 1000.0 True True 10.0 10.0 False
68 94727473.5 96466866.0 98233701.0 3648350.0 13.0 11.0 1000.0 True True 10.0 10.0 False
